0/1602, iter = 19.231001 seconds
1/1602, iter = 18.023566 seconds
2/1602, iter = 16.795431 seconds
3/1602, iter = 15.525652 seconds
4/1602, iter = 14.869505 seconds
5/1602, iter = 13.457722 seconds
6/1602, iter = 13.198925 seconds
7/1602, iter = 12.017876 seconds
8/1602, iter = 11.254973 seconds
9/1602, iter = 10.948419 seconds
10/1602, iter = 10.496879 seconds
11/1602, iter = 9.844388 seconds
12/1602, iter = 9.455552 seconds
13/1602, iter = 8.630868 seconds
14/1602, iter = 8.468385 seconds
15/1602, iter = 8.133125 seconds
16/1602, iter = 7.393237 seconds
17/1602, iter = 6.889848 seconds
18/1602, iter = 7.208026 seconds
19/1602, iter = 6.336561 seconds
20/1602, iter = 6.270827 seconds
21/1602, iter = 5.846859 seconds
22/1602, iter = 5.576693 seconds
23/1602, iter = 5.657758 seconds
24/1602, iter = 5.317424 seconds
25/1602, iter = 4.410907 seconds
26/1602, iter = 4.763844 seconds
27/1602, iter = 4.280891 seconds
28/1602, iter = 4.876969 seconds
29/1602, iter = 4.265858 seconds
30/1602, iter = 4.149343 seconds
31/1602, iter = 3.820953 seconds
32/1602, iter = 3.939040 seconds
33/1602, iter = 3.282081 seconds
34/1602, iter = 3.453778 seconds
35/1602, iter = 2.846394 seconds
36/1602, iter = 2.964277 seconds
37/1602, iter = 3.192917 seconds
38/1602, iter = 2.902049 seconds
39/1602, iter = 2.792232 seconds
40/1602, iter = 3.152685 seconds
41/1602, iter = 2.803415 seconds
42/1602, iter = 2.486753 seconds
43/1602, iter = 2.684687 seconds
44/1602, iter = 2.243737 seconds
45/1602, iter = 2.186927 seconds
46/1602, iter = 2.275154 seconds
47/1602, iter = 2.297999 seconds
48/1602, iter = 1.945726 seconds
49/1602, iter = 1.774844 seconds
50/1602, iter = 1.709238 seconds
51/1602, iter = 1.876533 seconds
52/1602, iter = 1.561075 seconds
53/1602, iter = 1.611740 seconds
54/1602, iter = 1.661841 seconds
55/1602, iter = 1.814575 seconds
56/1602, iter = 2.089301 seconds
57/1602, iter = 1.764642 seconds
58/1602, iter = 1.508883 seconds
59/1602, iter = 1.606435 seconds
60/1602, iter = 1.532280 seconds
61/1602, iter = 1.361504 seconds
62/1602, iter = 1.534001 seconds
63/1602, iter = 1.428281 seconds
64/1602, iter = 1.301883 seconds
65/1602, iter = 1.168888 seconds
66/1602, iter = 1.387641 seconds
67/1602, iter = 0.935086 seconds
68/1602, iter = 0.838021 seconds
69/1602, iter = 0.902983 seconds
70/1602, iter = 0.938075 seconds
71/1602, iter = 1.172528 seconds
72/1602, iter = 0.983357 seconds
73/1602, iter = 0.915573 seconds
74/1602, iter = 1.044272 seconds
75/1602, iter = 0.827085 seconds
76/1602, iter = 0.914622 seconds
77/1602, iter = 0.819279 seconds
78/1602, iter = 0.707176 seconds
79/1602, iter = 0.879884 seconds
80/1602, iter = 0.702060 seconds
81/1602, iter = 0.828021 seconds
82/1602, iter = 0.961082 seconds
83/1602, iter = 0.735824 seconds
84/1602, iter = 0.635368 seconds
85/1602, iter = 0.718257 seconds
86/1602, iter = 0.556708 seconds
87/1602, iter = 0.596444 seconds
88/1602, iter = 0.584826 seconds
89/1602, iter = 0.581760 seconds
90/1602, iter = 0.567473 seconds
91/1602, iter = 0.543426 seconds
92/1602, iter = 0.627708 seconds
93/1602, iter = 0.514432 seconds
94/1602, iter = 0.619059 seconds
95/1602, iter = 0.511439 seconds
96/1602, iter = 0.500870 seconds
97/1602, iter = 0.558402 seconds
98/1602, iter = 0.489946 seconds
99/1602, iter = 0.511702 seconds
100/1602, iter = 0.455583 seconds
101/1602, iter = 0.577543 seconds
102/1602, iter = 0.429114 seconds
103/1602, iter = 0.432987 seconds
104/1602, iter = 0.431387 seconds
105/1602, iter = 0.393659 seconds
106/1602, iter = 0.328073 seconds
107/1602, iter = 0.437386 seconds
108/1602, iter = 0.369747 seconds
109/1602, iter = 0.373452 seconds
110/1602, iter = 0.340193 seconds
111/1602, iter = 0.441365 seconds
112/1602, iter = 0.434667 seconds
113/1602, iter = 0.357230 seconds
114/1602, iter = 0.371565 seconds
115/1602, iter = 0.221830 seconds
116/1602, iter = 0.309952 seconds
117/1602, iter = 0.509909 seconds
118/1602, iter = 0.287309 seconds
119/1602, iter = 0.303630 seconds
120/1602, iter = 0.239402 seconds
121/1602, iter = 0.289796 seconds
122/1602, iter = 0.291396 seconds
123/1602, iter = 0.233479 seconds
